Frame,Latitude,Longitude,Location,Defects,Defect Count
frame_00059.jpg,19.056399,74.712206,"Ahmadnagar, Maharashtra, India, 3p47+g3g, Mohininagar, Kedgaon, Ahmadnagar,, Maharashtra 414005, India, » Lat 19.056399° Long 74.712206°",None,0
frame_00060.jpg,19.056399,74.712206,"Ahmadnagar, Maharashtra, India, 3p47+g3g, Mohininagar, Kedgaon, Ahmadnagar,, > Maharashtra 414005, India, » Lat 19.056399° Long 74.712206°",None,0
frame_00061.jpg,19.0564,74.712132,"Ahmadnagar, MaharasnNtra, India, 3p47+g3g, Mohininagar, Kedgaon, Ahmadnagar,, Maharashtra 414005, India",None,0
frame_00062.jpg,19.0564,74.712132,"Ahmadnagar, Maharashtra, India, 3p47+g3g, Mohininagar, Kedgaon, Ahmadnagar,, Maharashtra 414005, India",None,0
frame_00063.jpg,Not found,Not found,"Ahmadnagar, Maharashtra, India, 3p47+g3g, Mohininagar, Kedgaon, Ahmadnagar,, *§ Maharashtra 414005, India, vm Lat.19.0564° Long 74.712132°",None,0
frame_00064.jpg,19.0564,74.712132,"sewa Ahmadnagar, Maharashtra, India, re 3p47+g3g, Mohininagar, Kedgaon, Ahmadnagar,, ‘s ~*""4.. Maharashtra 414005, India, ER: - o™ Lat 19.0564° Long 74.712132°",None,0
frame_00065.jpg,19.0564,74.712132,"he ER, Bose,, Ahmadnagar, Maharashtra, India, 3p47+g3g, Mohininagar, Kedgaon, Ahmadnagar,, Maharashtra 414005, India",None,0
frame_00066.jpg,19.0564,74.712132,"ay |, Sees, Ahmadnagar, Maharashtra, India, 3p47+g3g, Mohininagar, Kedgaon, Ahmadnagar,, Maharashtra 414005, India",None,0
frame_00067.jpg,19.0564,74.712132,"Ahmadnagar, Maharashtra, India, 3p47+g3g, Mohininagar, Kedgaon, Ahmadnagar,, Maharashtra 414005, India, ‘be Lat 19.0564° Long 74.712132°",None,0
frame_00068.jpg,19.0564,74.712132,"Ahmadnagar, Maharashtra, India, 3p47+g3g, Mohininagar, Kedgaon, Ahmadnagar,, eos =e, ewe’ { Maharashtra 414008, India, x g EF we >. Lat 19.0564° Long 74.712132°",cracks: 1,1
frame_00069.jpg,19.0564,74.712132,"a 14 Maharashtra 414005, India, @ Ahmadnagar, Maharashtra, India |, , 3p47+g3g, Mohininagar, Kedgaon, Ahmadnagar, =, a Lat 19.0564° Long 74.712132°",cracks: 1,1
frame_00070.jpg,19.056402,74.712045,"Ahmadnagar, MaharasNtra, India, 3p46+mmm, Kedgaon, Ahmadnagar, Maharashtra, 414005, India",cracks: 2,2
frame_00071.jpg,19.056402,74.712045,"Ahmadnagar, MaharasnNtra, India, 3p46+mmm, Kedgaon, Ahmadnagar, Maharashtra, 414005, India",cracks: 1,1
frame_00072.jpg,19.056402,74.712045,"Ahmadnagar, MaharasnNtra, India, : 3p46+mmm, Kedgaon, Ahmadnagar, Maharashtra, =* 414005, India, — 4, Lat 19.056402° Long 74.712045°",cracks: 1,1
frame_00073.jpg,19.056402,74.712045,"Ahmadnagar, MaharasnNtra, India, 3p46+mmm, Kedgaon, Ahmadnagar, Maharashtra, 414005, India",cracks: 1,1
frame_00074.jpg,19.056402,74.712045,"Ahmadnagar, MaharasnNtra, India, 3p46+mmm, Kedgaon, Ahmadnagar, Maharashtra, 414005, India",cracks: 1,1
frame_00075.jpg,19.056402,74.712045,"oemhig, aie., Sees, —_ eae, Ahmadnagar, MaharasnNtra, India, 3p46+mmm, Kedgaon, Ahmadnagar, MaPareshtra, 414005, India",cracks: 1,1
frame_00076.jpg,19.056405,74.711958,"Ahmadnagar, Maharashtra, India, 3p46+mmm, Kedgaon, Ahmadnagar, Maharashtra, w= 414005, India, _ Lat 19.056405° Long 74.711958°",cracks: 1,1
frame_00077.jpg,19.056405,74.711958,"#uf Ahmadnagar, Maharashtra, India, re keg 3p46+mmm, Kedgaon, Ahmadnagar, Maharasht, = 4140085, India, ™ Lat 19.056405° Long 74.711958°",cracks: 1,1
frame_00078.jpg,19.056405,74.711958,"alzAgios, ogles,, om.”, Ahmadnagar, Maharashtra, India, 3p46+mmm, Kedgaon, Ahmadnagar, Maharashtra, 414005, India",cracks: 1,1
frame_00079.jpg,19.056405,74.711958,"=e Ahmadnagar, Maharashtra, India |, Stade 3p46+mmm, Kedgaon, Ahmadnagar, Maharashtra, _ Lat 19.056405° Long 74.711958°",pothole: 1,1
frame_00080.jpg,Not found,Not found,"2 Co, f= — o, of .8, Le ay ca, cord wl, Os mE, ae O 2, OS 3g, T= ,wWa, OeELSR, TE -LO, fC tog, O5L2W, a a eae, qogsh, sles, ‘om, vote), FSins",pothole: 1,1
frame_00081.jpg,19.056406,74.711881,"ae"" be / rid, Ahmadnagar, MaharasnNtra, India, 3p46+mmm, Kedgaon, Ahmadnagar, Maharashtra, 414005, India, — Te |",pothole: 2,2
frame_00082.jpg,19.056406,74.711881,"3p46+mmm, Kedgaon, Ahmadnagar, Maharashtra, 414005, India",pothole: 4,4
frame_00083.jpg,19.056406,74.711881,"Ahmadnagar, MaharasnNtra, India, 3p46+mmm, Kedgaon, Ahmadnagar, Maharashtra, 414005, India",pothole: 3,3
frame_00084.jpg,19.056406,74.711881,"=, Ahmadnagar, Maharashtra, India §, Sieh sj 3p46+mmm, Kedgaon, Ahmadnagar, Maharashtra, 414005, India",pothole: 3,3
frame_00085.jpg,19.056406,74.711881,"_ Ahmadnagar, Maharashtra, India, 3p46+mmm, Kedgaon, Ahmadnagar, Maharashtra, 414005, India, iv Bs, -Googles=, “g Ob. gO ena",pothole: 2,2
frame_00086.jpg,19.056406,74.711881,"Ahmadnagar, MaharasnNtra, India 3, 3p46+mmm, Kedgaon, Ahmadnagar, Maharashtra, , 414005, India, ai wr « Lat 19.056406° Long 74.711881°",pothole: 2,2
